Sample,Basic Statistics,Per base sequence quality,Per tile sequence quality,Per sequence quality scores,Per base sequence content,Per sequence GC content,Per base N content,Sequence Length Distribution,Sequence Duplication Levels,Overrepresented sequences,Adapter Content
DMSO-2-STAT5_S5_L002_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-2-STAT5_S5_L003_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-2-STAT5_S5_L003_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-2-STAT5_S5_L004_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-2-STAT5_S5_L004_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-2-input2_S9_L001_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-2-input2_S9_L001_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-2-input2_S9_L002_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-2-input2_S9_L002_R2_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
DMSO-2-input2_S9_L003_R1_001.fastq.gz,PASS,PASS,PASS,PASS,FAIL,WARN,PASS,WARN,PASS,PASS,PASS
